	250 nm Particle Size, Log D = 3	
Dose/Solubility Ratio	Permeability	Fraction Absorbed
100000000	1	0.051
100000000	1.129	0.057
100000000	1.274	0.063
100000000	1.438	0.07
100000000	1.624	0.077
100000000	1.833	0.086
100000000	2.069	0.095
100000000	2.336	0.105
100000000	2.637	0.115
100000000	2.976	0.127
100000000	3.36	0.139
100000000	3.793	0.153
100000000	4.281	0.168
100000000	4.833	0.184
100000000	5.456	0.201
100000000	6.158	0.22
100000000	6.952	0.239
100000000	7.848	0.26
100000000	8.859	0.282
100000000	10	0.304
42735042	1	0.115
42735042	1.129	0.128
42735042	1.274	0.142
42735042	1.438	0.158
42735042	1.624	0.175
42735042	1.833	0.194
42735042	2.069	0.214
42735042	2.336	0.236
42735042	2.637	0.261
42735042	2.976	0.287
42735042	3.36	0.315
42735042	3.793	0.346
42735042	4.281	0.379
42735042	4.833	0.416
42735042	5.456	0.455
42735042	6.158	0.496
42735042	6.952	0.54
42735042	7.848	0.587
42735042	8.859	0.635
42735042	10	0.686
18315018	1	0.258
18315018	1.129	0.287
18315018	1.274	0.319
18315018	1.438	0.355
18315018	1.624	0.393
18315018	1.833	0.435
18315018	2.069	0.481
18315018	2.336	0.531
18315018	2.637	0.585
18315018	2.976	0.644
18315018	3.36	0.707
18315018	3.793	0.776
18315018	4.281	0.851
18315018	4.833	0.933
18315018	5.456	1.02
18315018	6.158	1.114
18315018	6.952	1.212
18315018	7.848	1.316
18315018	8.859	1.425
18315018	10	1.538
7874015	1	0.577
7874015	1.129	0.642
7874015	1.274	0.714
7874015	1.438	0.793
7874015	1.624	0.879
7874015	1.833	0.973
7874015	2.069	1.076
7874015	2.336	1.187
7874015	2.637	1.308
7874015	2.976	1.439
7874015	3.36	1.58
7874015	3.793	1.733
7874015	4.281	1.9
7874015	4.833	2.083
7874015	5.456	2.278
7874015	6.158	2.485
7874015	6.952	2.705
7874015	7.848	2.936
7874015	8.859	3.178
7874015	10	3.43
3355704	1	1.285
3355704	1.129	1.43
3355704	1.274	1.589
3355704	1.438	1.764
3355704	1.624	1.955
3355704	1.833	2.164
3355704	2.069	2.392
3355704	2.336	2.64
3355704	2.637	2.908
3355704	2.976	3.199
3355704	3.36	3.513
3355704	3.793	3.852
3355704	4.281	4.222
3355704	4.833	4.627
3355704	5.456	5.059
3355704	6.158	5.518
3355704	6.952	6.003
3355704	7.848	6.515
3355704	8.859	7.05
3355704	10	7.608
1438848	1	2.846
1438848	1.129	3.166
1438848	1.274	3.518
1438848	1.438	3.904
1438848	1.624	4.327
1438848	1.833	4.788
1438848	2.069	5.292
1438848	2.336	5.839
1438848	2.637	6.433
1438848	2.976	7.074
1438848	3.36	7.767
1438848	3.793	8.516
1438848	4.281	9.331
1438848	4.833	10.22
1438848	5.456	11.17
1438848	6.158	12.18
1438848	6.952	13.25
1438848	7.848	14.37
1438848	8.859	15.55
1438848	10	16.77
617283	1	6.27
617283	1.129	6.973
617283	1.274	7.745
617283	1.438	8.593
617283	1.624	9.521
617283	1.833	10.53
617283	2.069	11.64
617283	2.336	12.84
617283	2.637	14.14
617283	2.976	15.55
617283	3.36	17.07
617283	3.793	18.71
617283	4.281	20.45
617283	4.833	22.3
617283	5.456	24.26
617283	6.158	26.32
617283	6.952	28.48
617283	7.848	30.73
617283	8.859	33.07
617283	10	35.48
263852	1	13.72
263852	1.129	15.25
263852	1.274	16.94
263852	1.438	18.77
263852	1.624	20.74
263852	1.833	22.87
263852	2.069	25.16
263852	2.336	27.63
263852	2.637	30.28
263852	2.976	33.12
263852	3.36	36.16
263852	3.793	39.4
263852	4.281	42.89
263852	4.833	46.65
263852	5.456	50.61
263852	6.158	54.76
263852	6.952	59.09
263852	7.848	63.57
263852	8.859	68.18
263852	10	72.88
112866	1	29.23
112866	1.129	32.34
112866	1.274	35.73
112866	1.438	39.4
112866	1.624	43.38
112866	1.833	47.68
112866	2.069	52.31
