X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
1	0.00423	1	0.00988	1	0.023	1	0.054	1	0.126	1	0.295	1	0.69	1	1.612	1	3.762	1	8.742	1	20.1	1	44.83	1	83.08	1	99.07	1	99.82	1	99.86	1	99.87	1	99.87	1	99.87	1	99.87
1.129	0.00466	1.129	0.011	1.129	0.025	1.129	0.059	1.129	0.139	1.129	0.325	1.129	0.76	1.129	1.775	1.129	4.14	1.129	9.615	1.129	22.07	1.129	49.07	1.129	86.29	1.129	99.37	1.129	99.87	1.129	99.9	1.129	99.91	1.129	99.91	1.129	99.91	1.129	99.91
1.274	0.00513	1.274	0.012	1.274	0.028	1.274	0.065	1.274	0.153	1.274	0.358	1.274	0.835	1.274	1.951	1.274	4.548	1.274	10.55	1.274	24.19	1.274	53.58	1.274	89.14	1.274	99.58	1.274	99.91	1.274	99.94	1.274	99.94	1.274	99.94	1.274	99.94	1.274	99.94
1.438	0.00563	1.438	0.013	1.438	0.031	1.438	0.072	1.438	0.168	1.438	0.392	1.438	0.917	1.438	2.14	1.438	4.986	1.438	11.56	1.438	26.46	1.438	58.36	1.438	91.6	1.438	99.72	1.438	99.94	1.438	99.96	1.438	99.96	1.438	99.96	1.438	99.96	1.438	99.96
1.624	0.00617	1.624	0.014	1.624	0.034	1.624	0.079	1.624	0.184	1.624	0.43	1.624	1.004	1.624	2.343	1.624	5.456	1.624	12.64	1.624	28.88	1.624	63.39	1.624	93.65	1.624	99.82	1.624	99.96	1.624	99.97	1.624	99.97	1.624	99.97	1.624	99.97	1.624	99.97
1.833	0.00675	1.833	0.016	1.833	0.037	1.833	0.086	1.833	0.201	1.833	0.47	1.833	1.097	1.833	2.559	1.833	5.958	1.833	13.8	1.833	31.44	1.833	68.56	1.833	95.29	1.833	99.89	1.833	99.98	1.833	99.98	1.833	99.98	1.833	99.98	1.833	99.98	1.833	99.98
2.069	0.00736	2.069	0.017	2.069	0.04	2.069	0.094	2.069	0.219	2.069	0.512	2.069	1.196	2.069	2.79	2.069	6.491	2.069	15.02	2.069	34.15	2.069	72.36	2.069	96.55	2.069	99.93	2.069	99.98	2.069	99.99	2.069	99.99	2.069	99.99	2.069	99.99	2.069	99.99
2.336	0.008	2.336	0.019	2.336	0.044	2.336	0.102	2.336	0.238	2.336	0.557	2.336	1.3	2.336	3.032	2.336	7.049	2.336	16.29	2.336	36.97	2.336	75.38	2.336	97.47	2.336	99.96	2.336	99.99	2.336	99.99	2.336	99.99	2.336	99.99	2.336	99.99	2.336	99.99
2.637	0.00868	2.637	0.02	2.637	0.047	2.637	0.111	2.637	0.259	2.637	0.604	2.637	1.41	2.637	3.287	2.637	7.641	2.637	17.65	2.637	39.95	2.637	78.25	2.637	98.18	2.637	99.97	2.637	99.99	2.637	100	2.637	100	2.637	100	2.637	100	2.637	100
2.976	0.00942	2.976	0.022	2.976	0.051	2.976	0.12	2.976	0.28	2.976	0.655	2.976	1.529	2.976	3.563	2.976	8.283	2.976	19.11	2.976	43.15	2.976	81.06	2.976	98.72	2.976	99.98	2.976	100	2.976	100	2.976	100	2.976	100	2.976	100	2.976	100
3.36	0.01	3.36	0.024	3.36	0.056	3.36	0.13	3.36	0.304	3.36	0.709	3.36	1.656	3.36	3.859	3.36	8.966	3.36	20.67	3.36	46.54	3.36	83.67	3.36	99.1	3.36	99.99	3.36	100	3.36	100	3.36	100	3.36	100	3.36	100	3.36	100
3.793	0.011	3.793	0.026	3.793	0.06	3.793	0.14	3.793	0.328	3.793	0.766	3.793	1.788	3.793	4.167	3.793	9.68	3.793	22.29	3.793	50.02	3.793	86.03	3.793	99.36	3.793	99.99	3.793	100	3.793	100	3.793	100	3.793	100	3.793	100	3.793	100
